smiles,iupac_name,common_name,t3db_id,cas,toxicity_class,toxicity_score,is_toxic,ld50_mg_kg,logp,mol_weight,source
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,"1,4-dichloro-2-(2,6-dichlorophenyl)benzene","2,2',5,6'-Tetrachlorobiphenyl",T3D0442,41464-41-9,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,"1,3-dichloro-2-(2,6-dichlorophenyl)benzene","2,2',6,6'-Tetrachlorobiphenyl",T3D0443,15968-05-5,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1,"1,2,3-trichloro-4-(3-chlorophenyl)benzene","2,3,3',4-Tetrachlorobiphenyl",T3D0444,74338-24-2,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccc(-c2cccc(Cl)c2Cl)cc1Cl,"1,2-dichloro-4-(2,3-dichlorophenyl)benzene","2,3,3',4'-Tetrachlorobiphenyl",T3D0445,41464-43-1,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cccc(-c2cc(Cl)cc(Cl)c2Cl)c1,"1,2,5-trichloro-3-(3-chlorophenyl)benzene","2,3,3',5-Tetrachlorobiphenyl",T3D0446,70424-67-8,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cc(Cl)cc(-c2cccc(Cl)c2Cl)c1,"1,3-dichloro-5-(2,3-dichlorophenyl)benzene","2,3,3',5'-Tetrachlorobiphenyl",T3D0447,41464-49-7,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cccc(-c2c(Cl)ccc(Cl)c2Cl)c1,"1,2,4-trichloro-3-(3-chlorophenyl)benzene","2,3,3',6-Tetrachlorobiphenyl",T3D0448,74472-33-6,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1,"1,2,3-trichloro-4-(4-chlorophenyl)benzene","2,3,4,4'-Tetrachlorobiphenyl",T3D0449,33025-41-1,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,"1,2,3,4-tetrachloro-5-phenylbenzene","2,3,4,5-Tetrachlorobiphenyl",T3D0450,33284-53-6,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1Cl,"1,2,3,5-tetrachloro-4-phenylbenzene","2,3,4,6-Tetrachlorobiphenyl",T3D0451,54230-22-7,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccc(-c2cc(Cl)cc(Cl)c2Cl)cc1,"1,2,5-trichloro-3-(4-chlorophenyl)benzene","2,3,4',5-Tetrachlorobiphenyl",T3D0452,74472-34-7,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)cc1,"1,2,4-trichloro-3-(4-chlorophenyl)benzene","2,3,4',6-Tetrachlorobiphenyl",T3D0453,52663-58-8,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cc(Cl)c(Cl)c(-c2ccccc2)c1Cl,"1,2,4,5-tetrachloro-3-phenylbenzene","2,3,5,6-Tetrachlorobiphenyl",T3D0454,33284-54-7,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,"2,4-dichloro-1-(3,4-dichlorophenyl)benzene","2,3',4,4'-Tetrachlorobiphenyl",T3D0455,32598-10-0,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cccc(-c2cc(Cl)c(Cl)cc2Cl)c1,"1,2,4-trichloro-5-(3-chlorophenyl)benzene","2,3',4,5-Tetrachlorobiphenyl",T3D0456,73575-53-8,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cc(Cl)cc(-c2ccc(Cl)cc2Cl)c1,"2,4-dichloro-1-(3,5-dichlorophenyl)benzene","2,3',4,5'-Tetrachlorobiphenyl",T3D0457,73575-52-7,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cccc(-c2c(Cl)cc(Cl)cc2Cl)c1,"1,3,5-trichloro-2-(3-chlorophenyl)benzene","2,3',4,6-Tetrachlorobiphenyl",T3D0458,60233-24-1,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,"1,4-dichloro-2-(3,4-dichlorophenyl)benzene","2,3',4',5-Tetrachlorobiphenyl",T3D0459,32598-11-1,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccc(-c2c(Cl)cccc2Cl)cc1Cl,"1,2-dichloro-4-(2,6-dichlorophenyl)benzene","2,3',4',6-Tetrachlorobiphenyl",T3D0460,41464-46-4,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cc(Cl)cc(-c2cc(Cl)ccc2Cl)c1,"1,4-dichloro-2-(3,5-dichlorophenyl)benzene","2,3',5,5'-Tetrachlorobiphenyl",T3D0461,41464-42-0,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cc(Cl)cc(-c2c(Cl)cccc2Cl)c1,"1,3-dichloro-5-(2,6-dichlorophenyl)benzene","2,3',5',6-Tetrachlorobiphenyl",T3D0462,74338-23-1,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1,"1,2,4-trichloro-5-(4-chlorophenyl)benzene","2,4,4',5-Tetrachlorobiphenyl",T3D0463,32690-93-0,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccc(-c2c(Cl)cc(Cl)cc2Cl)cc1,"1,3,5-trichloro-2-(4-chlorophenyl)benzene","2,4,4',6-Tetrachlorobiphenyl",T3D0464,32598-12-2,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1,"1,2,3-trichloro-5-(2-chlorophenyl)benzene","2,3',4',5'-Tetrachlorobiphenyl",T3D0465,70362-48-0,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,"1,2-dichloro-4-(3,4-dichlorophenyl)benzene","3,3',4,4'-Tetrachlorobiphenyl",T3D0466,32598-13-3,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2)c1,"1,2,3-trichloro-5-(3-chlorophenyl)benzene","3,3',4,5-Tetrachlorobiphenyl",T3D0467,70362-49-1,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cc(Cl)cc(-c2ccc(Cl)c(Cl)c2)c1,"1,3-dichloro-5-(3,4-dichlorophenyl)benzene","3,3',4,5'-Tetrachlorobiphenyl",T3D0468,41464-48-6,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1,"1,2,3-trichloro-5-(4-chlorophenyl)benzene","3,4,4',5-Tetrachlorobiphenyl",T3D0470,70362-50-4,harmful,2,1,,6.036649883333333,291.988,t3db_local
Clc1cc(Cl)c(Cl)c(-c2cccc(Cl)c2Cl)c1,"1,2,5-trichloro-3-(2,3-dichlorophenyl)benzene","2,2',3,3',5-Pentachlorobiphenyl",T3D0472,60145-20-2,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cccc(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,"1,2,4-trichloro-3-(2,3-dichlorophenyl)benzene","2,2',3,3',6-Pentachlorobiphenyl",T3D0473,52663-60-2,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,"1,2,3-trichloro-4-(2,4-dichlorophenyl)benzene","2,2',3,4,4'-Pentachlorobiphenyl",T3D0474,65510-45-4,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl,"1,2,3,4-tetrachloro-5-(2-chlorophenyl)benzene","2,2',3,4,5-Pentachlorobiphenyl",T3D0475,55312-69-1,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,"1,2,3-trichloro-4-(2,5-dichlorophenyl)benzene","2,2',3,4,5'-Pentachlorobiphenyl",T3D0476,38380-02-8,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl,"1,2,3,5-tetrachloro-4-(2-chlorophenyl)benzene","2,2',3,4,6-Pentachlorobiphenyl",T3D0477,55215-17-3,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2c(Cl)cccc2Cl)c(Cl)c1Cl,"1,2,3-trichloro-4-(2,6-dichlorophenyl)benzene","2,2',3,4,6'-Pentachlorobiphenyl",T3D0478,73575-57-2,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2cc(Cl)cc(Cl)c2Cl)c(Cl)c1,"1,2,5-trichloro-3-(2,4-dichlorophenyl)benzene","2,2',3,4',5-Pentachlorobiphenyl",T3D0479,68194-07-0,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,"1,2,4-trichloro-3-(2,4-dichlorophenyl)benzene","2,2',3,4',6-Pentachlorobiphenyl",T3D0480,68194-05-8,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1,"1,2,5-trichloro-3-(2,5-dichlorophenyl)benzene","2,2',3,5,5'-Pentachlorobiphenyl",T3D0481,52663-61-3,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccccc1-c1c(Cl)c(Cl)cc(Cl)c1Cl,"1,2,4,5-tetrachloro-3-(2-chlorophenyl)benzene","2,2',3,5,6-Pentachlorobiphenyl",T3D0482,73575-56-1,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)c(Cl)c(-c2c(Cl)cccc2Cl)c1,"1,2,5-trichloro-3-(2,6-dichlorophenyl)benzene","2,2',3,5,6'-Pentachlorobiphenyl",T3D0483,73575-55-0,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,"1,2,4-trichloro-3-(2,5-dichlorophenyl)benzene","2,2',3,5',6-Pentachlorobiphenyl",T3D0484,38379-99-6,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1Cl,"1,2,4-trichloro-3-(2,6-dichlorophenyl)benzene","2,2',3,6,6'-Pentachlorobiphenyl",T3D0485,73575-54-9,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,"1,2,4-trichloro-5-(2,3-dichlorophenyl)benzene","2,2',3,4',5'-Pentachlorobiphenyl",T3D0486,41464-51-1,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)c(Cl)c1,"1,3,5-trichloro-2-(2,3-dichlorophenyl)benzene","2,2',3,4',6'-Pentachlorobiphenyl",T3D0487,60233-25-2,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,"1,2,4-trichloro-5-(2,4-dichlorophenyl)benzene","2,2',4,4',5-Pentachlorobiphenyl",T3D0488,38380-01-7,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,"1,3,5-trichloro-2-(2,4-dichlorophenyl)benzene","2,2',4,4',6-Pentachlorobiphenyl",T3D0489,39485-83-1,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,"1,2,4-trichloro-5-(2,5-dichlorophenyl)benzene","2,2',4,5,5'-Pentachlorobiphenyl",T3D0490,37680-73-2,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)cc1Cl,"1,2,4-trichloro-5-(2,6-dichlorophenyl)benzene","2,2',4,5,6'-Pentachlorobiphenyl",T3D0491,68194-06-9,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)c(-c2cc(Cl)ccc2Cl)c(Cl)c1,"1,3,5-trichloro-2-(2,5-dichlorophenyl)benzene","2,2',4,5',6-Pentachlorobiphenyl",T3D0492,60145-21-3,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene","2,2',4,6,6'-Pentachlorobiphenyl",T3D0493,56558-16-8,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,"1,2,3-trichloro-4-(3,4-dichlorophenyl)benzene","2,3,3',4,4'-Pentachlorobiphenyl",T3D0494,32598-14-4,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,"1,2,3,4-tetrachloro-5-(3-chlorophenyl)benzene","2,3,3',4,5-Pentachlorobiphenyl",T3D0495,70424-69-0,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)c(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,"1,2,5-trichloro-3-(3,4-dichlorophenyl)benzene","2,3,3',4',5-Pentachlorobiphenyl",T3D0496,70424-68-9,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)cc(-c2ccc(Cl)c(Cl)c2Cl)c1,"1,2,3-trichloro-4-(3,5-dichlorophenyl)benzene","2,3,3',4,5'-Pentachlorobiphenyl",T3D0497,70362-41-3,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1,"1,2,3,5-tetrachloro-4-(3-chlorophenyl)benzene","2,3,3',4,6-Pentachlorobiphenyl",T3D0498,74472-35-8,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,"1,2,4-trichloro-3-(3,4-dichlorophenyl)benzene","2,3,3',4',6-Pentachlorobiphenyl",T3D0499,38380-03-9,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2Cl)c1,"1,2,5-trichloro-3-(3,5-dichlorophenyl)benzene","2,3,3',5,5'-Pentachlorobiphenyl",T3D0500,39635-32-0,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,"1,2,4,5-tetrachloro-3-(3-chlorophenyl)benzene","2,3,3',5,6-Pentachlorobiphenyl",T3D0501,74472-36-9,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)cc(-c2c(Cl)ccc(Cl)c2Cl)c1,"1,2,4-trichloro-3-(3,5-dichlorophenyl)benzene","2,3,3',5',6-Pentachlorobiphenyl",T3D0502,68194-10-5,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1,"1,2,3,4-tetrachloro-5-(4-chlorophenyl)benzene","2,3,4,4',5-Pentachlorobiphenyl",T3D0503,74472-37-0,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1,"1,2,3,5-tetrachloro-4-(4-chlorophenyl)benzene","2,3,4,4',6-Pentachlorobiphenyl",T3D0504,74472-38-1,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,"1,2,3,4,5-pentachloro-6-phenylbenzene","2,3,4,5,6-Pentachlorobiphenyl",T3D0505,18259-05-7,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1,"1,2,4,5-tetrachloro-3-(4-chlorophenyl)benzene","2,3,4',5,6-Pentachlorobiphenyl",T3D0506,68194-11-6,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,"1,2,4-trichloro-5-(3,4-dichlorophenyl)benzene","2,3',4,4',5-Pentachlorobiphenyl",T3D0507,31508-00-6,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,"1,3,5-trichloro-2-(3,4-dichlorophenyl)benzene","2,3',4,4',6-Pentachlorobiphenyl",T3D0508,56558-17-9,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)cc(-c2cc(Cl)c(Cl)cc2Cl)c1,"1,2,4-trichloro-5-(3,5-dichlorophenyl)benzene","2,3',4,5,5'-Pentachlorobiphenyl",T3D0509,68194-12-7,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)cc(-c2c(Cl)cc(Cl)cc2Cl)c1,"1,3,5-trichloro-2-(3,5-dichlorophenyl)benzene","2,3',4,5',6-Pentachlorobiphenyl",T3D0510,56558-18-0,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(-c2cccc(Cl)c2Cl)cc(Cl)c1Cl,"1,2,3-trichloro-5-(2,3-dichlorophenyl)benzene","2,3,3',4',5'-Pentachlorobiphenyl",T3D0511,76842-07-4,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1,"1,2,3-trichloro-5-(2,4-dichlorophenyl)benzene","2,3',4,4',5'-Pentachlorobiphenyl",T3D0512,65510-44-3,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1,"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene","2,3',4',5,5'-Pentachlorobiphenyl",T3D0513,70424-70-3,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(-c2c(Cl)cccc2Cl)cc(Cl)c1Cl,"1,2,3-trichloro-5-(2,6-dichlorophenyl)benzene","2,3',4',5',6-Pentachlorobiphenyl",T3D0514,74472-39-2,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,"1,2,3-trichloro-5-(3,4-dichlorophenyl)benzene","3,3',4,4',5-Pentachlorobiphenyl",T3D0515,57465-28-8,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cc(Cl)cc(-c2cc(Cl)c(Cl)c(Cl)c2)c1,"1,2,3-trichloro-5-(3,5-dichlorophenyl)benzene","3,3',4,5,5'-Pentachlorobiphenyl",T3D0516,39635-33-1,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl,"1,2,3,4-tetrachloro-5-(2,3-dichlorophenyl)benzene","2,2',3,3',4,5-Hexachlorobiphenyl",T3D0518,55215-18-4,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,"1,2,5-trichloro-3-(2,3,4-trichlorophenyl)benzene","2,2',3,3',4,5'-Hexachlorobiphenyl",T3D0519,52663-66-8,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1Cl,"1,2,3,5-tetrachloro-4-(2,3-dichlorophenyl)benzene","2,2',3,3',4,6-Hexachlorobiphenyl",T3D0520,61798-70-7,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,"1,2,3-trichloro-4-(2,3,6-trichlorophenyl)benzene","2,2',3,3',4,6'-Hexachlorobiphenyl",T3D0521,38380-05-1,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1,"1,2,5-trichloro-3-(2,3,5-trichlorophenyl)benzene","2,2',3,3',5,5'-Hexachlorobiphenyl",T3D0522,35694-04-3,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,"1,2,4,5-tetrachloro-3-(2,3-dichlorophenyl)benzene","2,2',3,3',5,6-Hexachlorobiphenyl",T3D0523,52704-70-8,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,"1,2,5-trichloro-3-(2,3,6-trichlorophenyl)benzene","2,2',3,3',5,6'-Hexachlorobiphenyl",T3D0524,52744-13-5,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,"1,2,4-trichloro-3-(2,3,6-trichlorophenyl)benzene","2,2',3,3',6,6'-Hexachlorobiphenyl",T3D0525,38411-22-2,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,"1,2,3,4-tetrachloro-5-(2,4-dichlorophenyl)benzene","2,2',3,4,4',5-Hexachlorobiphenyl",T3D0526,35694-06-5,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,"1,2,3-trichloro-4-(2,4,5-trichlorophenyl)benzene","2,2',3,4,4',5'-Hexachlorobiphenyl",T3D0527,35065-28-2,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,"1,2,3,5-tetrachloro-4-(2,4-dichlorophenyl)benzene","2,2',3,4,4',6-Hexachlorobiphenyl",T3D0528,56030-56-9,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,"1,3,5-trichloro-2-(2,3,4-trichlorophenyl)benzene","2,2',3,4,4',6'-Hexachlorobiphenyl",T3D0529,59291-64-4,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,"1,2,3,4-tetrachloro-5-(2,5-dichlorophenyl)benzene","2,2',3,4,5,5'-Hexachlorobiphenyl",T3D0530,52712-04-6,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1ccccc1-c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,"1,2,3,4,5-pentachloro-6-(2-chlorophenyl)benzene","2,2',3,4,5,6-Hexachlorobiphenyl",T3D0531,41411-61-4,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(-c2c(Cl)cccc2Cl)c(Cl)c(Cl)c1Cl,"1,2,3,4-tetrachloro-5-(2,6-dichlorophenyl)benzene","2,2',3,4,5,6'-Hexachlorobiphenyl",T3D0532,68194-15-0,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1ccc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1,"1,2,3,5-tetrachloro-4-(2,5-dichlorophenyl)benzene","2,2',3,4,5',6-Hexachlorobiphenyl",T3D0533,68194-14-9,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1Cl,"1,2,3,5-tetrachloro-4-(2,6-dichlorophenyl)benzene","2,2',3,4,6,6'-Hexachlorobiphenyl",T3D0534,74472-40-5,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,"1,2,5-trichloro-3-(2,4,5-trichlorophenyl)benzene","2,2',3,4',5,5'-Hexachlorobiphenyl",T3D0535,51908-16-8,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1,"1,2,4,5-tetrachloro-3-(2,4-dichlorophenyl)benzene","2,2',3,4',5,6-Hexachlorobiphenyl",T3D0536,68194-13-8,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c(Cl)c1,"1,3,5-trichloro-2-(2,3,5-trichlorophenyl)benzene","2,2',3,4',5,6'-Hexachlorobiphenyl",T3D0537,74472-41-6,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,"1,2,4-trichloro-5-(2,3,6-trichlorophenyl)benzene","2,2',3,4',5',6-Hexachlorobiphenyl",T3D0538,38380-04-0,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,"1,3,5-trichloro-2-(2,3,6-trichlorophenyl)benzene","2,2',3,4',6,6'-Hexachlorobiphenyl",T3D0539,68194-08-1,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,"1,2,4,5-tetrachloro-3-(2,5-dichlorophenyl)benzene","2,2',3,5,5',6-Hexachlorobiphenyl",T3D0540,52663-63-5,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(Cl)c(-c2c(Cl)cccc2Cl)c1Cl,"1,2,4,5-tetrachloro-3-(2,6-dichlorophenyl)benzene","2,2',3,5,6,6'-Hexachlorobiphenyl",T3D0541,68194-09-2,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,"1,2,4-trichloro-5-(2,4,5-trichlorophenyl)benzene","2,2',4,4',5,5'-Hexachlorobiphenyl",T3D0542,35065-27-1,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,"1,3,5-trichloro-2-(2,4,5-trichlorophenyl)benzene","2,2',4,4',5,6'-Hexachlorobiphenyl",T3D0543,60145-22-4,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,"1,3,5-trichloro-2-(2,4,6-trichlorophenyl)benzene","2,2',4,4',6,6'-Hexachlorobiphenyl",T3D0544,33979-03-2,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene","2,3,3',4,4',5-Hexachlorobiphenyl",T3D0545,38380-08-4,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,"1,2,3-trichloro-4-(3,4,5-trichlorophenyl)benzene","2,3,3',4,4',5'-Hexachlorobiphenyl",T3D0546,69782-90-7,harmful,2,1,,7.244739236,360.878,t3db_local
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl,"1,2,3,5-tetrachloro-4-(3,4-dichlorophenyl)benzene","2,3,3',4,4',6-Hexachlorobiphenyl",T3D0547,74472-42-7,harmful,2,1,,7.244739236,360.878,t3db_local
